step;tempo;distancia;E;K;U;T;raio;virial
0;0;0.000251982;-356.088;342.668;-698.756;228.445;0.583907;-134.199
100;1;0.40871;1100.04;1115.68;-156.388;743.785;27.283;2215.72
200;2;0.896848;1100.12;1113.19;-130.626;742.124;556.444;2213.31
300;3;132.522;1099.99;1113.04;-130.457;742.025;826.154;2213.03
400;4;20.423;1105.94;1111.04;-509.489;740.693;108.962;2216.98
500;5;314.007;1105.91;1111.79;-588.464;741.195;134.943;2217.7
600;6;415.742;1105.94;1109.08;-314.368;739.387;160.681;2215.02
700;7;516.715;1105.93;1109.06;-312.935;739.371;186.244;2214.98
800;8;618.819;1105.94;1108.76;-282.317;739.176;211.675;2214.7
900;9;72.833;1105.93;1108.31;-237.293;73.887;236.386;2214.24
1000;10;833.607;1105.97;1110.03;-406.077;740.022;26.092;2216.01
1100;11;928.712;1105.93;1108.01;-207.606;738.673;28.538;2213.94
1200;12;102.855;1105.92;1108.6;-268.247;739.068;30.978;2214.52
1300;13;112.988;1105.94;1108;-206.429;738.668;334.128;2213.94
1400;14;123.711;1105.93;1107.88;-19.514;738.588;358.432;2213.81
1500;15;133.581;1105.95;1108.68;-272.544;73.912;382.697;2214.63
1600;16;142.844;1105.93;1107.66;-172.645;73.844;406.929;2213.59
1700;17;153.302;1105.9;1108.97;-306.382;739.311;431.132;2214.87
1800;18;163.319;1105.94;1107.65;-171.859;738.436;455.309;2213.59
1900;19;173.871;1105.93;1107.77;-184.565;738.516;479.462;2213.7
2000;20;183.228;1105.94;1108.02;-207.729;73.868;503.594;2213.96
2100;21;192.671;1105.93;1107.5;-156.704;738.333;527.707;2213.43
2200;22;203.475;1105.92;1109.82;-389.266;739.878;551.803;2215.74
2300;23;213.474;1105.93;1107.46;-152.409;738.306;575.883;2213.39
2400;24;223.906;1105.92;1107.85;-192.173;738.564;599.949;2213.77
2500;25;232.933;1105.94;1107.67;-172.642;738.443;624.001;2213.6
2600;26;243.206;1105.93;1107.43;-150.258;738.289;648.041;2213.36
2700;27;253.765;1105.97;1108.97;-300.257;739.315;67.207;2214.94
2800;28;262.821;1105.93;1107.34;-140.868;738.228;696.089;2213.28
2900;29;272.308;1105.92;1108.14;-222.734;738.762;720.097;2214.06
3000;30;280.553;1105.94;1107.45;-151.477;738.301;744.097;2213.39
3100;31;290.819;1105.93;1107.44;-150.891;738.292;768.088;2213.37
3200;32;300.654;1105.95;1108.1;-21.518;738.735;792.071;2214.05
3300;33;310.205;1105.93;1107.28;-134.467;738.185;816.047;2213.21
3400;34;319.654;1105.9;1108.89;-298.755;739.257;840.016;2214.78
3500;35;328.517;1105.93;1107.32;-138.009;73.821;863.978;2213.25
3600;36;339.119;1105.93;1107.52;-159.208;738.346;887.934;2213.45
3700;37;348.694;1105.94;1107.67;-172.801;738.446;911.884;2213.61
3800;38;358.197;1105.93;1107.25;-132.122;738.169;935.828;2213.18
3900;39;367.428;1105.95;1109.58;-362.728;739.719;959.767;2215.53
4000;40;377.085;1105.93;1107.23;-129.443;738.152;983.701;2213.16
4100;41;387.687;1105.92;1107.72;-179.281;738.477;100.763;2213.64
4200;42;396.955;1105.94;1107.43;-149.058;738.286;103.156;2213.37
4300;43;406.339;1105.93;1107.27;-133.707;738.179;105.548;2213.2
4400;44;415.744;1105.96;1108.53;-256.751;739.021;107.939;2214.49
4500;45;425.895;1105.93;1107.18;-12.444;738.118;110.331;2213.11
4600;46;436.385;1105.91;1108.14;-223.311;738.763;112.721;2214.06
4700;47;445.367;1105.94;1107.28;-1.345;738.187;115.112;2213.22
4800;48;45.474;1105.93;1107.33;-140.025;73.822;117.502;2213.26
4900;49;464.647;1105.95;1107.84;-189.697;738.563;119.892;2213.79
5000;50;47.496;1105.93;1107.16;-122.421;738.104;122.282;2213.09
5100;51;485.281;1105.9;1109.07;-317.305;73.938;124.671;2214.97
5200;52;494.117;1105.93;1107.19;-125.299;738.125;127.06;2213.12
5300;53;504.025;1105.93;1107.46;-153.418;738.307;129.448;2213.39
5400;54;514.328;1105.94;1107.5;-156.128;738.334;131.837;2213.44
5500;55;523.815;1105.93;1107.16;-123.328;73.811;134.225;2213.1
5600;56;533.043;1105.97;1109.28;-331.542;739.523;136.613;2215.25
5700;57;541.294;1105.93;1107.13;-119.717;738.087;139.001;2213.06
5800;58;551.347;1105.92;1107.72;-179.872;73.848;141.388;2213.64
5900;59;560.848;1105.94;1107.31;-13.709;738.205;143.775;2213.25
6000;60;570.625;1105.93;1107.21;-127.646;738.138;146.162;2213.14
6100;61;579.635;1105.96;1108.23;-227.177;73.882;148.549;2214.19
6200;62;588.474;1105.93;1107.1;-116.959;738.068;150.936;2213.04
6300;63;599.108;1105.91;1108.26;-235.669;738.842;153.322;2214.17
6400;64;608.439;1105.94;1107.19;-12.546;738.127;155.708;2213.13
